state,city,zip,area_codes,latitude,longitude
NY,Brooklyn,11225,718,40.64,-73.94
TN,Columbia,38401,"931,615",35.62,-87.04
NJ,Somerset,8873,"732,908",40.49,-74.48
TX,Laredo,78046,956,27.53,-99.48
NJ,East Brunswick,8816,"732,973,908",40.42,-74.41
CA,Oceanside,92056,"760,858",33.2,-117.29
VA,Chesapeake,23320,757,36.67,-76.3
NY,Bronx,10473,"917,718,347",40.84,-73.87
FL,Fort Lauderdale,33313,954,26.14,-80.13
CA,Santee,92071,"619,858",32.85,-116.99
PA,Philadelphia,19143,"215,267",39.95,-75.16
CA,Vallejo,94591,"707,916,510",38.11,-122.2
NY,New York,10009,"917,212,646,718",40.71,-73.99
TX,Round Rock,78664,512,30.51,-97.67
CA,Brentwood,94513,"925,916",37.87,-121.68
CA,Modesto,95355,"209,562",37.67,-120.95
IN,Indianapolis,46227,317,39.77,-86.14
CA,Ontario,91762,909,34.04,-117.67
TX,Laredo,78045,956,27.53,-99.48
NJ,West New York,7093,201,40.78,-74
NY,New York,10021,"212,646,917,315,347",40.77,-73.95
NY,Brooklyn,11213,"917,718,347",40.64,-73.94
CA,Los Angeles,90034,"323,310,213",34.02,-118.39
CT,West Haven,6516,"203,860",41.27,-72.96
TX,Austin,78745,512,30.26,-97.74
NC,Fayetteville,28314,910,35.05,-78.87
TX,Spring,77373,"281,832,713",30.06,-95.38
AZ,Tucson,85706,520,32.07,-110.88
CA,Tustin,92780,"714,909,661,949,818,000",33.74,-117.82
MI,Canton,48187,734,42.3,-83.48
NC,Huntersville,28078,704,35.41,-80.84
KS,Salina,67401,785,38.81,-97.61
WA,Vancouver,98682,360,45.67,-122.47
MO,Columbia,65203,573,38.95,-92.32
AZ,Mesa,85204,"602,480",33.39,-111.78
CA,Corona,92880,"760,714",33.9,-117.61
MD,Glen Burnie,21061,"410,443,301",39.16,-76.6
FL,Orlando,32825,"321,407,954",28.5,-81.37
FL,Jacksonville,32218,904,30.33,-81.65
TX,Mesquite,75149,"214,972,469",32.76,-96.59
PA,Downingtown,19335,"610,484",40,-75.7
OH,Dayton,45424,"513,937",39.77,-84.19
IL,Chicago,60622,"312,773,847",41.83,-87.68
OH,Zanesville,43701,740,39.95,-82.01
CA,Azusa,91702,"626,818",34.17,-117.87
TN,Collierville,38017,"901,662",35.05,-89.67
WA,Everett,98208,"425,206",47.9,-122.18
NV,Las Vegas,89123,702,36,-115.14
CO,Greeley,80634,"970,303",40.42,-104.74
NC,Kernersville,27284,336,36.11,-80.07
CA,Salinas,93906,"831,408",36.72,-121.63
NY,Jamaica,11432,"718,516,347",40.68,-73.78
IL,Elgin,60120,"847,224",42.03,-88.28
CA,Gilroy,95020,"408,805",37.06,-121.55
NC,Wake Forest,27587,919,35.97,-78.52
CA,San Jose,95122,"650,408",37.33,-121.83
FL,Miami,33177,"786,305",25.77,-80.2
CA,Los Angeles,90003,"323,213,310",33.96,-118.27
NJ,Irvington,7111,973,40.72,-74.23
CA,Placentia,92870,"714,626,323",33.88,-117.85
OK,Oklahoma City,73160,405,35.46,-97.51
NJ,Perth Amboy,8861,732,40.52,-74.27
IL,Chicago,60609,"773,312",41.83,-87.68
FL,Orlando,32837,"407,321",28.5,-81.37
NJ,Sicklerville,8081,856,39.73,-74.98
